product_name,price,ean
Saffron 24 Day Gift Advent Calendar For Him (8331),12.5,5055340000000
Saffron Seven Day Gift Advent Calendar For Him (7792),7.5,5055340000000
Technic 12 Days of Christmas Cosmetic Advent Calendar (998201),4.75,5021770000000
Technic Festive Girl Cosmetic Advent Calendar (998209),3.95,5021770000000
Technic Man'Stuff Clean Sneaks Sports Shoe Care Kit (990705) CHRISTMAS-1097,2.45,
Technic Man'Stuff Clean Sneaks Sports Shoe Care Kit (990705) CHRISTMAS-1097,14.7,
Technic New Year Countdown Make-Up Collection (998211),3.95,5021770000000
